ExplorationSID;QuerySID;NbGroAdd;NbGroDel;NbSelAdd;NbSelDel;NbAggAdd;NbAggDel;AggLevel;FilterLevel
1;2;1;0;0;0;0;0;1;0
1;3;1;0;0;0;0;0;2;0
2;4;0;0;0;0;0;0;0;0
2;5;1;0;0;0;1;0;1;0
2;6;1;1;0;0;0;0;1;0
2;7;0;0;0;0;0;1;1;0
2;8;0;0;1;0;0;0;1;1
2;10;0;0;1;1;0;0;1;2
2;12;0;0;1;1;0;0;1;2
2;14;0;0;1;0;0;0;1;3
2;15;0;0;1;1;0;0;1;3
2;16;0;1;1;2;0;0;0;1
2;17;1;0;0;1;1;0;1;0
2;18;0;0;0;0;0;0;1;0
2;25;0;1;1;0;0;1;0;1
2;26;0;0;0;0;0;0;0;1
3;27;0;0;0;0;0;0;0;0
3;28;0;0;1;0;0;0;0;1
3;29;1;0;0;1;1;0;1;0
3;30;1;1;0;0;2;1;1;0
3;31;0;0;1;0;0;2;1;1
3;32;0;1;1;1;0;0;0;1
3;33;0;0;0;0;0;0;0;1
3;34;1;0;0;0;2;0;1;1
4;35;0;0;0;0;0;0;0;0
4;36;0;0;1;0;0;0;0;1
4;37;1;0;0;0;0;0;1;1
4;38;1;1;0;0;1;0;1;1
4;39;0;1;1;1;0;1;0;1
4;40;1;0;0;0;3;0;1;1
5;41;0;0;0;0;0;0;0;0
5;42;0;0;1;0;0;0;0;1
5;43;1;0;0;1;0;0;1;0
5;44;1;1;0;0;2;0;1;0
5;45;0;0;0;0;0;2;1;0
5;46;0;0;1;0;0;0;1;1
6;47;0;0;0;0;0;0;0;0
6;48;1;0;0;0;0;0;1;0
6;49;1;0;0;0;0;0;2;0
6;50;1;0;0;0;0;0;3;0
6;51;0;0;0;0;0;0;3;0
6;52;0;0;0;0;0;0;3;0
6;53;0;0;1;0;0;0;3;1
6;54;0;0;1;1;0;0;3;1
7;55;0;0;0;0;0;0;0;0
7;56;1;0;0;0;0;0;1;0
7;57;1;0;0;0;0;0;2;0
7;58;1;0;0;0;0;0;3;0
7;59;1;0;0;0;0;0;4;0
7;60;1;2;0;0;0;0;3;0
7;62;0;1;1;0;0;0;2;1
7;63;0;2;1;1;0;0;0;1
7;64;0;0;1;1;0;0;0;1
8;65;0;0;0;0;0;0;0;0
8;66;1;0;0;0;0;0;1;0
8;67;1;0;0;0;0;0;2;0
8;68;0;0;0;0;0;0;2;0
8;69;0;0;0;0;0;0;2;0
8;70;0;0;0;0;0;0;2;0
8;71;0;0;0;0;0;0;2;0
8;72;0;0;0;0;0;0;2;0
8;73;0;2;1;0;0;0;0;1
8;74;0;0;1;0;0;0;0;2
8;75;0;0;0;0;0;0;0;2
8;76;0;0;0;0;0;0;0;2
8;77;0;0;0;0;0;0;0;2
8;78;0;0;0;0;0;0;0;3
8;79;1;0;0;2;0;0;1;0
8;80;0;0;1;0;0;0;1;1
8;81;0;0;0;0;0;0;1;1
8;82;0;0;0;0;0;0;1;1
8;83;0;1;1;1;0;0;0;1
8;84;0;0;0;0;0;0;0;1
8;85;0;0;1;1;0;0;0;1
8;86;0;0;1;0;0;0;0;2
8;87;0;0;0;1;0;0;0;1
8;88;1;0;0;0;0;0;1;1
8;89;0;1;0;1;0;0;0;0
8;90;1;0;0;0;0;0;1;0
9;91;0;0;0;0;0;0;0;0
9;92;1;0;0;0;0;0;1;0
9;93;1;0;0;0;0;0;2;0
9;94;1;2;0;0;0;0;1;0
9;95;1;1;0;0;3;0;1;0
9;96;0;0;1;0;0;3;1;1
10;97;0;0;0;0;0;0;0;0
10;98;1;0;0;0;0;0;1;0
10;99;1;0;0;0;0;0;2;0
10;100;0;2;1;0;0;0;0;1
10;102;1;0;0;0;4;0;1;1
11;101;0;0;0;0;0;0;0;0
11;103;1;0;0;0;2;0;1;0
11;105;1;0;0;0;0;0;2;0
11;106;1;0;0;0;0;0;3;0
11;107;0;0;0;0;0;2;3;0
11;108;0;0;0;0;2;0;3;0
11;112;0;0;0;0;0;2;3;0
12;109;0;0;0;0;0;0;0;0
12;110;1;0;0;0;0;0;1;0
12;111;1;0;0;0;0;0;2;0
12;114;1;2;0;0;1;0;1;0
12;117;0;0;0;0;2;1;1;0
12;119;0;0;1;0;0;2;1;1
13;113;3;0;0;0;0;0;3;0
14;115;0;0;0;0;0;0;0;0
14;116;1;0;0;0;0;0;1;0
14;118;1;1;0;0;0;0;1;0
14;122;1;1;0;0;0;0;1;0
14;124;1;1;0;0;0;0;1;0
15;120;0;0;0;0;0;0;0;0
15;121;1;0;0;0;0;0;1;0
15;123;0;0;0;0;2;0;1;0
15;125;0;1;1;0;0;2;0;1
15;126;1;0;0;0;0;0;1;1
16;127;0;0;0;0;0;0;0;0
16;128;1;0;0;0;0;0;1;0
16;129;1;0;0;0;0;0;2;0
16;130;0;1;0;0;0;0;1;0
16;131;0;1;0;0;0;0;0;0
17;132;0;0;0;0;0;0;0;0
17;133;1;0;0;0;0;0;1;0
17;134;1;1;0;0;0;0;1;0
17;135;1;0;0;0;0;0;2;0
17;137;0;2;1;0;0;0;0;1
17;138;1;0;0;0;0;0;1;1
17;139;1;1;0;1;0;0;1;0
17;140;0;1;1;0;0;0;0;1
17;141;1;0;0;0;0;0;1;1
17;142;0;0;1;0;0;0;1;2
17;143;1;0;0;0;0;0;2;2
18;144;0;0;0;0;0;0;0;0
18;145;1;0;0;0;0;0;1;0
18;146;1;1;0;0;0;0;1;0
18;147;1;0;0;0;0;0;2;0
18;148;1;2;0;0;0;0;1;0
18;149;0;0;0;0;4;0;1;0
19;150;0;0;0;0;0;0;0;0
19;151;1;0;0;0;0;0;1;0
19;152;0;0;0;0;0;0;1;0
19;153;0;0;0;0;0;0;1;0
19;154;0;0;0;0;0;0;1;0
19;155;1;1;0;0;0;0;1;0
19;156;1;0;0;0;0;0;2;0
19;157;1;2;0;0;1;0;1;0
19;158;0;0;0;0;0;0;1;0
19;159;0;1;1;0;0;1;0;1
19;160;0;0;0;1;0;0;0;0
19;161;1;0;0;0;2;0;1;0
19;162;0;0;0;0;0;1;1;0
19;163;0;0;0;0;0;1;1;0
19;164;0;0;0;0;0;0;1;0
19;165;0;0;0;0;0;0;1;0
19;166;0;0;0;0;1;0;1;0
19;167;0;0;0;0;0;1;1;0
19;168;0;0;0;0;0;0;1;0
19;169;0;1;1;0;0;0;0;1
19;170;1;0;0;1;0;0;1;0
19;171;1;1;0;0;1;0;1;0
19;172;0;1;1;0;0;1;0;1
19;173;1;0;0;0;1;0;1;1
19;174;0;1;0;1;0;1;0;0
19;175;0;0;0;0;0;0;0;0
19;176;0;0;1;0;0;0;0;1
19;177;1;0;0;1;2;0;1;0
19;178;0;1;0;0;0;2;0;0
19;179;0;0;0;0;0;0;0;0
19;180;0;0;0;0;0;0;0;0
19;181;0;0;0;0;0;0;0;0
19;182;0;0;0;0;0;0;0;0
19;183;0;0;0;0;0;0;0;0
19;184;0;0;0;0;0;0;0;0
19;185;0;0;0;0;0;0;0;0
19;186;0;0;0;0;0;0;0;0
19;187;0;0;0;0;0;0;0;0
19;188;0;0;0;0;0;0;0;0
19;189;0;0;0;0;0;0;0;0
19;190;0;0;0;0;0;0;0;0
19;191;0;0;0;0;0;0;0;0
20;192;0;0;0;0;0;0;0;0
20;193;0;0;0;0;0;0;0;0
20;194;0;0;0;0;0;0;0;0
20;195;0;0;0;0;0;0;0;0
21;196;0;0;0;0;0;0;0;0
21;197;1;0;0;0;0;0;1;0
21;198;0;1;1;0;0;0;0;1
21;199;0;0;1;0;0;0;0;2
21;200;1;0;0;0;0;0;1;2
21;201;1;0;0;0;0;0;2;2
21;202;1;2;0;1;2;0;1;1
21;203;0;0;1;0;0;2;1;2
21;204;0;1;1;2;0;0;0;1
21;205;1;0;0;0;3;0;1;1
21;206;0;0;0;0;0;3;1;1
21;207;0;0;0;0;0;0;1;1
21;208;0;0;1;0;0;0;1;2
21;209;0;0;0;1;0;0;1;1
21;210;0;0;0;0;0;0;1;1
21;211;0;0;0;0;0;0;1;1
21;212;1;1;0;0;0;0;1;1
21;213;0;0;1;0;0;0;1;2
21;214;0;1;1;2;0;0;0;1
21;215;1;0;0;1;0;0;1;0
21;216;0;0;1;0;0;0;1;1
22;217;0;0;0;0;0;0;0;0
22;218;0;0;1;0;0;0;0;1
22;219;0;0;1;0;0;0;0;2
22;220;0;0;0;0;0;0;0;2
22;221;0;0;0;1;0;0;0;1
22;222;0;0;1;1;0;0;0;1
22;223;1;0;0;0;1;0;1;1
22;224;0;0;0;0;0;1;1;1
22;225;0;0;0;0;0;0;1;1
22;226;0;0;0;0;0;0;1;1
22;227;0;1;0;0;0;0;0;1
22;228;0;0;1;1;0;0;0;1
22;229;0;0;1;1;0;0;0;1
22;230;0;0;1;1;0;0;0;1
22;231;1;0;0;0;0;0;1;1
22;232;0;1;1;1;0;0;0;1
22;233;0;0;1;0;0;0;0;2
22;234;0;0;1;0;0;0;0;3
22;235;0;0;0;0;0;0;0;4
22;236;0;0;1;2;0;0;0;2
22;237;0;0;0;0;0;0;0;2
22;238;0;0;0;1;0;0;0;1
22;239;0;0;1;1;0;0;0;1
22;240;0;0;1;0;0;0;0;2
23;241;0;0;0;0;0;0;0;0
23;242;0;0;1;0;0;0;0;1
23;243;0;0;0;0;0;0;0;1
23;244;0;0;1;0;0;0;0;2
23;245;0;0;1;2;0;0;0;1
23;247;0;0;2;1;0;0;0;2
23;248;1;0;0;0;1;0;1;2
23;249;0;0;0;0;0;1;1;2
23;250;0;1;1;2;0;0;0;1
23;251;0;0;1;0;0;0;0;2
23;252;0;0;1;2;0;0;0;1
23;253;1;0;0;0;1;0;1;1
23;255;0;0;1;0;0;1;1;2
24;258;0;0;1;0;0;0;0;1
25;259;0;0;0;0;0;0;0;0
25;260;0;0;1;0;0;0;0;1
25;261;0;0;1;1;0;0;0;1
26;262;0;0;0;0;0;0;0;0
27;263;0;0;0;0;0;0;0;0
27;264;0;0;1;0;0;0;0;1
27;265;0;0;1;1;0;0;0;1
27;266;0;0;1;1;0;0;0;1
27;267;1;0;0;0;0;0;1;1
27;268;0;0;0;0;0;0;1;1
27;269;0;1;1;1;0;0;0;1
27;270;0;0;0;0;0;0;0;1
27;271;0;0;0;0;0;0;0;1
29;272;0;0;0;0;0;0;0;0
29;273;0;0;1;0;0;0;0;1
29;274;0;0;0;0;0;0;0;1
29;275;0;0;0;0;0;0;0;1
29;276;0;0;0;0;0;0;0;1
29;277;0;0;0;0;0;0;0;1
29;278;0;0;0;0;0;0;0;1
29;279;0;0;0;0;0;0;0;1
29;280;0;0;0;0;0;0;0;1
30;281;0;0;0;0;0;0;0;0
30;282;0;0;1;0;0;0;0;1
30;283;0;0;1;0;0;0;0;2
30;284;0;0;1;1;0;0;0;2
30;285;0;0;1;1;0;0;0;2
30;286;0;0;0;1;0;0;0;1
30;287;1;0;0;0;0;0;1;1
30;288;0;1;1;1;0;0;0;1
30;289;0;0;1;1;0;0;0;1
30;290;0;0;1;1;0;0;0;1
30;291;0;0;1;0;0;0;0;2
30;292;0;0;1;1;0;0;0;2
30;293;0;0;1;0;0;0;0;3
30;294;0;0;1;3;0;0;0;1
30;295;0;0;1;1;0;0;0;1
30;296;0;0;1;1;0;0;0;1
30;297;1;0;0;1;0;0;1;0
30;298;0;0;1;0;0;0;1;1
30;299;0;1;0;0;0;0;0;1
30;300;1;0;0;0;0;0;1;1
30;301;0;0;0;0;0;0;1;1
30;302;0;0;1;0;0;0;1;2
30;303;0;0;0;1;0;0;1;1
30;304;1;0;0;0;0;0;2;1
30;305;0;1;1;0;0;0;1;2
30;306;0;0;1;1;0;0;1;2
30;307;0;1;0;1;0;0;0;1
30;308;0;0;0;0;0;0;0;1
30;309;0;0;0;0;0;0;0;1
30;310;0;0;0;0;0;0;0;1
30;311;0;0;1;0;0;0;0;2
30;312;0;0;0;1;0;0;0;1
30;313;0;0;0;0;0;0;0;2
30;314;0;0;0;0;0;0;0;3
30;315;0;0;0;0;0;0;0;1
30;316;0;0;1;1;0;0;0;1
30;317;0;0;0;0;0;0;0;1
30;318;1;0;0;1;0;0;1;0
30;319;0;0;0;0;0;0;1;0
30;320;0;1;1;0;0;0;0;1
30;321;1;0;0;0;0;0;1;1
30;322;1;0;0;0;0;0;2;1
30;323;0;2;1;1;0;0;0;1
30;324;1;0;0;0;0;0;1;1
30;325;1;0;0;0;0;0;2;1
30;326;0;1;0;0;0;0;1;1
30;327;0;1;1;0;0;0;0;2
30;328;1;0;0;0;0;0;1;2
30;329;1;0;0;0;0;0;2;2
30;330;0;1;0;0;0;0;1;2
30;331;1;0;0;0;0;0;2;2
30;332;0;0;0;0;0;0;2;2
30;333;0;0;0;0;0;0;2;2
30;334;0;0;0;0;0;0;2;2
30;335;0;0;0;0;0;0;3;2
31;336;0;0;0;0;0;0;0;0
31;337;0;0;1;0;0;0;0;1
31;338;0;0;0;0;0;0;0;1
31;339;0;0;0;0;0;0;0;1
31;340;0;0;1;1;0;0;0;1
31;341;0;0;1;0;0;0;0;2
31;342;1;0;0;0;0;0;1;2
31;343;0;1;0;1;0;0;0;1
31;344;0;0;1;0;0;0;0;2
31;345;0;0;1;1;0;0;0;2
32;346;0;0;0;0;0;0;0;0
32;347;0;0;1;0;0;0;0;1
32;348;0;0;1;0;0;0;0;2
32;349;1;0;0;0;0;0;1;2
32;350;0;1;1;2;0;0;0;1
32;351;0;0;0;0;0;0;0;1
32;352;0;0;0;0;0;0;0;1
32;353;0;0;1;1;0;0;0;1
32;354;0;0;1;1;0;0;0;1
32;355;0;0;1;1;0;0;0;1
33;356;0;0;0;0;0;0;0;0
33;357;0;0;1;0;0;0;0;1
33;361;0;0;1;1;0;0;0;1
33;362;0;0;1;1;0;0;0;1
33;363;0;0;1;0;0;0;0;2
33;364;0;0;1;0;0;0;0;3
33;365;1;0;0;0;0;0;1;3
33;366;0;1;1;2;0;0;0;2
33;367;0;0;1;0;0;0;0;3
33;368;0;0;1;3;0;0;0;1
33;369;0;0;1;1;0;0;0;1
33;370;0;0;1;0;0;0;0;2
33;371;1;0;0;0;0;0;1;2
33;372;1;1;0;0;0;0;1;2
33;373;0;0;0;0;0;0;1;2
33;374;1;1;0;0;0;0;1;2
33;375;1;1;0;0;0;0;1;2
33;376;1;0;0;0;0;0;2;2
33;377;0;2;0;1;0;0;0;1
33;378;0;0;1;1;0;0;0;1
33;379;0;0;1;0;0;0;0;2
33;380;1;0;0;0;0;0;1;2
34;381;0;0;0;0;0;0;0;0
34;382;1;0;0;0;0;0;1;0
34;383;1;0;0;0;0;0;2;0
34;384;1;0;0;0;0;0;3;0
34;385;0;3;1;0;0;0;0;1
34;386;1;0;0;0;1;0;1;1
34;387;0;0;0;0;2;1;1;1
35;388;0;0;0;0;0;0;0;0
35;389;0;0;0;0;0;0;0;0
35;390;0;0;0;0;0;0;0;0
35;391;0;0;0;0;0;0;0;0
35;392;0;0;0;0;0;0;0;0
35;393;0;0;0;0;0;0;0;0
35;394;0;0;0;0;0;0;0;0
35;395;1;0;0;0;0;0;1;0
36;396;0;0;0;0;0;0;0;0
37;397;0;0;0;0;0;0;0;0
37;398;1;0;0;0;0;0;1;0
37;399;1;0;0;0;0;0;2;0
38;400;0;0;0;0;0;0;0;0
38;401;1;0;0;0;0;0;1;0
38;402;0;0;0;0;0;0;1;0
38;403;1;0;0;0;0;0;2;0
38;404;1;0;0;0;0;0;3;0
38;405;1;0;0;0;0;0;4;0
38;406;0;4;1;0;0;0;0;1
38;407;1;0;0;0;0;0;1;1
38;408;0;0;0;0;0;0;1;1
39;409;0;0;0;0;0;0;0;0
39;410;0;0;1;0;0;0;0;1
39;411;1;0;0;0;1;0;1;1
39;412;1;1;0;1;0;1;1;0
39;413;1;1;0;0;0;0;1;0
39;414;1;0;0;0;0;0;2;0
39;415;1;0;0;0;0;0;3;0
39;416;0;3;1;0;0;0;0;1
39;417;0;0;1;0;0;0;0;2
39;418;0;0;1;1;0;0;0;2
39;419;1;0;0;0;0;0;1;2
39;420;1;1;0;0;0;0;1;2
39;421;0;1;1;2;0;0;0;1
39;422;1;0;0;0;3;0;1;1
40;423;0;0;0;0;0;0;0;0
40;424;1;0;0;0;0;0;1;0
41;425;0;0;0;0;0;0;0;0
41;426;0;0;1;0;0;0;0;1
41;427;0;0;1;0;0;0;0;3
41;428;0;0;0;0;0;0;0;4
41;429;0;0;0;0;0;0;0;5
41;430;0;0;0;0;0;0;0;5
42;431;0;0;0;0;0;0;0;0
42;432;1;0;0;0;0;0;1;0
43;433;0;0;0;0;0;0;0;0
43;434;0;0;0;0;0;0;0;0
43;435;0;0;0;0;0;0;0;0
43;436;0;0;0;0;0;0;0;0
43;437;1;0;0;0;0;0;1;0
43;438;0;0;0;0;0;0;1;0
43;439;0;0;0;0;0;0;1;0
43;440;0;0;1;0;0;0;1;1
44;441;0;0;0;0;0;0;0;0
44;442;1;0;0;0;0;0;1;0
44;443;1;1;0;0;0;0;1;0
45;444;0;0;0;0;0;0;0;0
45;445;1;0;0;0;0;0;1;0
45;446;1;0;0;0;0;0;2;0
45;447;0;1;0;0;0;0;1;0
45;448;0;0;0;0;0;0;1;0
46;449;0;0;0;0;0;0;0;0
46;450;0;0;1;0;0;0;0;1
46;451;0;0;0;0;0;0;0;1
46;452;0;0;0;0;0;0;0;1
46;453;0;0;0;0;0;0;0;1
46;454;0;0;1;1;0;0;0;1
46;455;0;0;0;0;0;0;0;1
46;456;0;0;0;0;0;0;0;1
46;457;0;0;0;0;0;0;0;1
46;458;0;0;1;0;0;0;0;2
46;459;0;0;0;0;0;0;0;2
46;460;0;0;1;2;0;0;0;1
46;461;0;0;0;0;0;0;0;1
46;462;0;0;0;0;0;0;0;1
46;463;0;0;0;0;0;0;0;1
46;464;0;0;0;0;0;0;0;1
46;465;1;0;0;1;0;0;1;0
46;466;0;0;0;0;0;0;1;0
46;467;0;0;0;0;0;0;1;0
46;468;0;0;1;0;0;0;1;1
46;469;0;0;0;0;0;0;1;1
46;470;0;0;0;1;0;0;1;0
46;471;0;0;1;0;0;0;1;1
46;472;0;0;0;0;0;0;1;1
46;473;0;0;1;1;0;0;1;1
46;474;0;0;0;0;0;0;1;1
46;475;0;1;1;1;0;0;0;1
46;476;0;0;0;0;0;0;0;1
46;477;0;0;1;1;0;0;0;1
46;478;0;0;0;0;0;0;0;1
46;479;1;0;0;1;0;0;1;0
46;480;0;0;0;0;0;0;1;0
46;481;0;0;0;0;0;0;1;0
46;482;0;0;0;0;0;0;1;0
46;483;0;0;0;0;0;0;1;0
46;484;0;0;0;0;0;0;1;0
46;485;1;1;0;0;0;0;1;0
46;486;0;0;0;0;0;0;1;0
46;487;1;1;0;0;0;0;1;0
47;488;0;0;0;0;0;0;0;0
47;489;1;0;0;0;1;0;1;0
48;490;0;0;0;0;0;0;0;0
48;491;1;0;0;0;2;0;1;0
48;492;1;1;0;0;0;1;1;0
49;493;0;0;0;0;0;0;0;0
49;495;1;0;0;0;1;0;1;0
49;496;1;1;0;0;1;1;1;0
50;497;0;0;0;0;0;0;0;0
51;498;0;0;0;0;0;0;0;0
51;500;1;0;0;0;1;0;1;0
51;502;0;0;0;0;3;0;1;0
52;499;0;0;0;0;0;0;0;0
52;501;1;0;0;0;2;0;1;0
52;503;1;0;0;0;0;0;2;0
53;504;0;0;0;0;0;0;0;0
54;505;0;0;0;0;0;0;0;0
54;506;0;0;0;0;0;0;0;0
54;507;1;0;0;0;0;0;1;0
55;508;0;0;0;0;0;0;0;0
55;509;0;0;0;0;0;0;0;0
55;510;0;0;1;0;0;0;0;1
55;513;0;0;0;0;0;0;0;1
55;514;1;0;0;0;1;0;1;1
55;517;0;1;1;1;0;1;0;1
55;518;0;0;1;0;0;0;0;2
55;523;0;0;0;1;0;0;0;1
55;524;0;0;0;0;0;0;0;1
55;525;1;0;0;1;0;0;1;0
55;526;0;0;0;0;0;0;1;0
55;527;0;0;0;0;0;0;1;0
55;528;0;0;0;0;0;0;1;0
55;529;0;0;0;0;0;0;1;0
55;530;0;1;0;0;0;0;0;0
55;531;0;0;0;0;0;0;0;0
55;532;0;0;0;0;0;0;0;0
55;533;0;0;0;0;0;0;0;0
55;534;0;0;0;0;0;0;0;0
55;535;0;0;1;0;0;0;0;1
55;536;0;0;0;0;0;0;0;1
55;537;1;0;0;0;0;0;1;1
56;511;0;0;0;0;0;0;0;0
56;515;0;0;0;0;0;0;0;0
56;516;0;0;0;0;0;0;0;0
57;538;0;0;0;0;0;0;0;0
57;539;1;0;0;0;0;0;1;0
57;540;1;1;0;0;0;0;1;0
57;541;0;0;1;0;0;0;1;1
57;542;0;0;1;1;0;0;1;1
57;543;0;0;1;0;0;0;1;2
57;544;1;0;0;1;0;0;2;1
57;545;0;0;0;0;1;0;2;1
57;546;0;1;0;1;0;1;1;0
58;547;0;0;0;0;0;0;0;0
59;548;0;0;0;0;0;0;0;0
59;549;1;0;0;0;0;0;1;0
59;550;0;0;0;0;0;0;1;0
59;551;0;0;0;0;1;0;1;0
59;552;0;0;0;0;0;1;1;0
59;553;0;0;0;0;0;0;1;0
59;554;1;1;0;0;0;0;1;0
59;555;0;1;1;0;0;0;0;1
59;556;1;0;0;1;2;0;1;0
59;557;0;0;0;0;0;2;1;0
59;558;0;0;0;0;0;0;1;0
59;559;1;1;0;0;0;0;1;0
59;560;1;0;0;0;0;0;2;0
59;561;0;1;0;0;0;0;1;0
59;562;1;0;0;0;0;0;2;0
59;563;1;2;0;0;0;0;1;0
59;564;1;0;0;0;0;0;2;0
59;565;1;2;0;0;0;0;1;0
60;566;0;0;0;0;0;0;0;0
60;567;1;0;0;0;0;0;1;0
60;568;1;0;0;0;0;0;2;0
60;569;0;1;0;0;0;0;1;0
60;570;1;0;0;0;0;0;2;0
60;571;1;2;0;0;0;0;1;0
60;572;1;1;0;0;0;0;1;0
60;573;0;0;0;0;1;0;1;0
60;574;0;0;1;0;0;1;1;1
60;575;0;0;0;0;0;0;1;1
60;576;1;0;0;1;1;0;2;0
60;577;0;1;0;0;0;1;1;0
60;578;1;1;0;0;0;0;1;0
60;579;1;0;0;0;0;0;2;0
60;580;0;1;0;0;0;0;1;0
60;581;1;0;0;0;0;0;2;0
61;582;0;0;0;0;0;0;0;0
61;583;1;0;0;0;0;0;1;0
62;584;0;0;0;0;0;0;0;0
63;585;0;0;0;0;0;0;0;0
63;586;1;0;0;0;0;0;1;0
63;587;1;1;0;0;0;0;1;0
63;588;1;1;0;0;0;0;1;0
63;589;1;1;0;0;0;0;1;0
63;590;1;1;0;0;0;0;1;0
64;591;0;0;0;0;0;0;0;0
64;592;0;0;1;0;0;0;0;1
64;593;0;0;0;0;0;0;0;1
64;594;1;0;0;0;0;0;1;1
64;595;0;0;0;0;0;0;1;1
64;596;0;0;0;0;0;0;1;1
64;597;1;0;0;0;0;0;2;1
64;598;0;0;0;0;0;0;2;1
64;599;0;0;0;0;0;0;2;1
64;600;0;0;0;0;0;0;2;2
64;601;0;0;0;0;0;0;2;3
64;602;1;0;0;0;0;0;3;3
64;603;1;0;0;0;0;0;4;3
64;604;0;0;0;0;0;0;5;3
64;605;0;0;0;0;0;0;5;3
64;606;0;0;0;0;0;0;5;3
64;607;1;0;0;0;0;0;6;3
65;608;6;0;3;0;0;0;6;3
66;609;0;0;0;0;0;0;0;0
66;610;0;0;1;0;0;0;0;1
66;611;0;0;0;0;0;0;0;2
66;612;0;0;0;0;0;0;0;3
66;613;0;0;0;0;0;0;0;4
67;614;0;0;0;0;0;0;0;0
67;615;0;0;1;0;0;0;0;1
67;617;0;0;1;0;0;0;0;2
67;618;0;0;1;0;0;0;0;3
